99995	61985
N(-F,=C)	1	0
C(-C,-F,-F,-N)	7	4
C(-Cl,-Cl,=C)	5	7
S(#Cl,-C,-C,-Cl)	0	1
C(=P)	2	0
C(-Cl,-F,-F,-S)	1	0
C(-S,-S,=O)	1	3
Si(-N,-N,-N,-O)	0	1
C(-B,-O,=C)	0	2
I(-C)	363	720
C(-C,-F,-F,-O)	40	34
C(-S,-S,=N)	253	151
Si(-N,-N,-N,-N)	0	1
C(-I,-N)	0	1
S(-S,-S)	1	1
C(-I,-Si,=C)	0	1
Si(-C,-C,-Cl,-O)	1	0
C(-Cl,-S)	0	3
C(-C,-F,-F,-P)	2	2
C(=N)	15	14
S(=C,=O)	1	2
C(-C,-H,-I,-N)	0	2
C(-Cl,-H,-H,-P)	0	1
C(-C,-C,-H,-H)	0	13
C(-Br,-S,=N)	10	3
C(-I,-O)	2	3
P(-N,-N,-O,=S)	0	1
C(-O,=C)	1620	950
