99995	61985
C(-C,-C,-Cl,-N)	3	2
C(-C,-F,-N)	3	5
P(-I,-O)	0	1
C(-C,-Cl,-Cl,-N)	1	1
Si(-C,-Cl,-Cl,-Cl)	1	2
C(-Cl,-H,=C)	4	4
C(-C,-C,-F)	82	58
C(-N,=O)	54	33
Si(-C,-C,-O)	2	19
N(-B,-C)	3	5
S(-N,-N,-O,-O)	0	3
C(-Cl,=C)	0	10
S(-C,-N,-O,-O)	0	9
N(-C,-Cl,-Cl)	0	1
C(-Si,-Si)	1	5
O(=I)	0	1
N(-C,-C,-F)	1	1
C(-C,-C,-Si,-Si)	0	1
C(-N,-P,-P)	0	2
H(-O)	0	8
C(-C,-C,-C,-F)	60	80
C(-C,-C,-F,-S)	4	3
N(-C,-H)	1	1
I(-S)	2	2
C(-C,-F,-O)	2	5
B(-C,-F,-N)	1	0
C(-H,-N,=O)	0	1
C(-F,-H,=C)	3	0
P(-C,-N,-S,=S)	1	0
N(-N,=O)	6	5
C(-C,-O,-O)	298	197
C(-C,-Cl,-Cl,-O)	1	1
C(-Br,-C,-F)	1	1
Si(-C,-C,-N)	0	3
P(-O,-P,-P)	0	1
C(-C,-P,-S)	1	0
O(-P,-P)	1	22
C(-O,=S)	0	1
H(-P)	0	1
B(-C,=O)	1	2
C(-C,-F,-P)	0	2
C(-H,-N,=N)	4	5
N(-N,=N)	1068	650
C(-C,-O,-P)	2	8
C(-C,-Cl,-F)	2	0
C(-Si,-Si,=C)	1	1
C(-O,-O,-O,-O)	1	1
C(-C,-S,=B)	0	1
P(-Cl,-Cl,-N,=N)	0	1
S(-C,-N,=N,=O)	1	1
N(-O,=N)	3	5
C(-Cl,-Cl,-O)	1	0
B(#B)	0	2
O(=P)	131	335
N(-C,=C,=C)	0	2
S(-Cl,-N,=O,=O)	2	3
Si(-C,-C,-C,-N)	6	13
C(-O,-O,-O,-P)	0	1
C(-C,-S,=C)	10844	6803
O(-C,-S)	126	192
C(-C,-P)	35	64
B(-H,-P)	0	1
C(-H,-N,=C)	123	91
C(-C,-N,-N)	176	114
P(-C,-O,-O)	1	7
N(-N,-N,-S)	3	0
C(-H,-H,-O,-O)	0	1
C(-F,-F,-P)	0	1
C(-O,-S,=C)	92	40
O(-N,-Si)	1	5
Si(-C,-C,-C,-O)	95	277
P(-N,-N,-S,=O)	1	0
C(-C,-O)	19346	11728
N(-C,-Cl,-N)	2	0
C(-C,-N,-O)	110	159
O(-C,-Cl)	0	2
N(-C,-P,-P)	1	1
O(=N)	39	36
S(-C,-C,=O)	181	195
P(-C,-N,-N)	0	1
N(-P,=P)	2	4
C(-C,-O,-S)	16	11
P(-O,-O,=O)	0	1
C(-C,-N)	38610	20980
C(-C,-F,-Si)	1	0
C(-F,-F,-S)	30	19
C(-C,-N,-P)	7	11
C(-C,-N,-Si,-Si)	0	1
N(-S,=C)	298	211
C(-C,-C,-S,-S)	10	15
S(-C,-C,=N)	2	0
C(-Si)	166	363
C(-C,-O,-S,-S)	1	1
P(-O,-O,-P,=O)	1	0
S(-C)	1006	770
C(-Br,-Br,-C)	3	2
Si(-C,-C,-C,-S)	0	1
C(-B,-B,=C)	1	0
C(-C,-C,-C,-P)	8	21
C(#C)	301	214
S(-C,-F,=O,=O)	0	9
S(-C,-C,-C,-O)	0	4
Si(#C)	0	1
S(-N,-O,=O)	0	23
C(-N,-N,-S,-S)	0	1
N(-Si,-Si)	0	2
S(-C,-S,=O,=O)	2	3
P(-F,-N,-N,=N)	0	1
S(-C,-N,=O,=O)	5011	3517
Si(-N,-O,-O,=Si)	0	1
P(-C,-C,-S,=O)	0	1
Si(-C,=O)	0	5
N(=P)	0	1
N(-Cl,-N)	1	1
P(-F,-F,-N,=N)	0	1
N(-N,-N,-O)	4	1
S(-C,-C,-C,-N)	0	3
P(-C,-Cl,-Cl,=O)	1	0
O(=S)	6957	5273
C(-C,-F,-F)	308	220
P(-N,-O,-O,=S)	2	2
C(-O,-O,-P)	0	1
P(-C,=C)	0	3
S(=N,=O)	0	1
C(-C,-S)	5113	3187
C(-Br,-C,-C,-O)	2	0
C(-C,-C,-C,-N)	2866	2073
O(-Si,-Si)	3	29
C(-Br,-C,-O)	2	0
P(-C,-Cl,-O)	0	1
C(-P,-P)	0	4
P(-Cl,-N,-O,=O)	0	1
C(-Si,-Si,-Si,-Si)	0	2
C(-C,-N,-S)	101	42
O(-S,-S)	2	4
P(-Cl,-N,-N,=N)	0	1
C(-N,-N,=S)	131	97
Si(-C,-C,-C,-P)	0	1
N(=N)	2	6
S(=N,=N)	1	0
C(-O,-O,-O)	1	4
N(-B,-C,-C)	2	10
C(-Br,-S)	3	3
C(-O,-Si,=O)	0	1
C(-C,-C,-C,-O)	2883	2428
C(-Br,-C,-N)	2	1
C(#Si,-C)	0	1
Br(-Si)	1	0
C(-B,-C,=C)	66	92
C(-C,-H,-O)	0	1
N(-Br,-C)	2	0
P(-C,-C,-C,=C)	1	9
C(-B,-N)	1	5
C(-H,-O,-O,-O)	0	1
N(=S)	4	3
S(-C,-F,-F,-F,-F,-F)	0	6
